"repository_path","category","dataset","condition","method","source_path","size_bytes","sha256","source_hash_match","note"
"models/cwru/snr5/model_denoising_state_dict.pkl","checkpoint","CWRU","snr5","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\Bace_dnn_model.pkl","337517","69c286d8352b7c6f9547f227d086b5b1b4540c4b13bce1278bf91fa9fbbc5c23","true","PyTorch state dictionary"
"models/cwru/snr5/wavelet_state_dict.pkl","checkpoint","CWRU","snr5","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\models\ROUND_4\Gaussian_test_noise_SNR=5\Bace_wave_model.pkl","333390","6bd76cd4c2850dfdc9e53e71f4bc2dfd6abf1c40fb4553a3a9d276ebb4f83580","true","PyTorch state dictionary"
"models/sufd/clean/basic_state_dict.pkl","checkpoint","SUFD","clean","basic","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Yourmodel.pkl","331473","2c41a9c17155c0d58ccfd9e5f50600b5c96b1b9aa4df4105bcb2546b761f7454","true","PyTorch state dictionary"
"models/sufd/clean/hybrid_state_dict.pkl","checkpoint","SUFD","clean","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Dnn_wave_model.pkl","337517","081b0f384293ef5cebc4f92914a78204e92d4445edc9ac9642b20e20d2a4b620","true","PyTorch state dictionary"
"models/sufd/clean/model_denoising_state_dict.pkl","checkpoint","SUFD","clean","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Bace_dnn_model.pkl","335981","74b71c46d1477dd595804880a25e7b4101ed1a4bf0c2bae2d7b46d10f760e69c","true","PyTorch state dictionary"
"models/sufd/clean/wavelet_state_dict.pkl","checkpoint","SUFD","clean","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\No_noisy\Bace_wave_model.pkl","331854","f9c75e9dc6e4c87cdecb8b0db9a740033bfea19b2cb16be6db0c363a99da1c58","true","PyTorch state dictionary"
"models/sufd/snr15/basic_state_dict.pkl","checkpoint","SUFD","snr15","basic","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Yourmodel.pkl","331473","3b144aaecda326b9e67a73f99aa9e18ad274c4d44a8bdb0226712de602271eb9","true","PyTorch state dictionary"
"models/sufd/snr15/hybrid_state_dict.pkl","checkpoint","SUFD","snr15","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Dnn_wave_model.pkl","337517","af5839d10eeb0db2c4a89642ecbc4c004ab78089fcc6940bc0654a26d495c391","true","PyTorch state dictionary"
"models/sufd/snr15/model_denoising_state_dict.pkl","checkpoint","SUFD","snr15","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Bace_dnn_model.pkl","335981","ae80cb7a83151185f1e87e8f1ceb47a53d4229063ad439481931a71f2b8a3942","true","PyTorch state dictionary"
"models/sufd/snr15/wavelet_state_dict.pkl","checkpoint","SUFD","snr15","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=15\Bace_wave_model.pkl","331854","b789a0b0e05ac208823a4a1e87ba9848dd239adc420815f7dc7aedc5186e1e58","true","PyTorch state dictionary"
"models/sufd/snr20/basic_state_dict.pkl","checkpoint","SUFD","snr20","basic","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=20\Yourmodel.pkl","331473","06afa488963187092053c5f87cec89b6f8a46f17e34825b0d27ef5e316be5be7","true","PyTorch state dictionary"
"models/sufd/snr20/hybrid_state_dict.pkl","checkpoint","SUFD","snr20","hybrid","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\SNR=20\Dnn_wave_model.pkl","337517","b748061d5b41da3e388a256dbd667d29dbc032a8f5cf9ea545efc9ce7252ea36","true","PyTorch state dictionary"
"models/sufd/snr20/model_denoising_state_dict.pkl","checkpoint","SUFD","snr20","model_denoising","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_1\SNR=20\Bace_dnn_model.pkl","335981","a82c088e6a00806d0b08c877c75598f8c84757cfa8129c5c6bf9e1be4d8693d0","true","PyTorch state dictionary"
"models/sufd/snr20/wavelet_state_dict.pkl","checkpoint","SUFD","snr20","wavelet","D:\文件备份\学习\论文-故障分类\历史模型\Geer_train_NEW\Round_2\SNR=20\Bace_wave_model.pkl","331854","5cafd14a2e7d12996ab77a91938b2fdb551b7a54ee2706fa9c21dfcd62f2a407","true","PyTorch state dictionary"
"results/figures/Figure_6a.pdf","publication_figure","CWRU","all","accuracy_bar","D:\文件备份\学习\论文-故障分类\绘图\accuracy_figures_fix2\CWRU_accuracy_bar.pdf","32500","fcf433f780792213850740105117109dd2a8b75a2354eb356a49af773203b750","true","Corrected publication figure"
"results/figures/Figure_6b.pdf","publication_figure","CWRU","all","accuracy_line","D:\文件备份\学习\论文-故障分类\绘图\accuracy_figures_fix2\CWRU_noise_accuracy.pdf","20586","c77f96ba80c5da19e666114e26e6626b4a6cf75ab37bfaa69546eedd3cdc7f88","true","Corrected publication figure"
"results/figures/Figure_8.pdf","publication_figure","CWRU;SUFD","all","gain_interaction","D:\文件备份\学习\论文-故障分类\绘图\gain_figures_fix4\combined_gain.pdf","39213","0b181258435fa8e0e8891628773a312dce96c39b7ca256239526aea8526afe62","true","Corrected publication figure; CWRU SNR15 interaction=-0.0031"
"results/figures/Figure_9.pdf","publication_figure","CWRU;SUFD","all","radar","D:\文件备份\学习\论文-故障分类\绘图\radar_figures_fix\combined_radar.pdf","29663","f3871fdbad2cfbf1092b9a46ce93f910068256ca1e8ef19d0963242531869f98","true","Corrected publication figure"
"results/plot_data_cwru.xlsx","plot_data","CWRU","all","","D:\文件备份\学习\论文-故障分类\绘图\试验结果CWRU.xlsx","5373","2a0e9ad6d9481000ea924be3d160bfd412a546f853b2fed3e60659f39c294410","true","Corrected source; CWRU SNR15 Hybrid=0.9512"
"results/plot_data_sufd.xlsx","plot_data","SUFD","all","","D:\文件备份\学习\论文-故障分类\绘图\试验结果SUFD.xlsx","9065","6038a4aab5e3ea9c07cb6f451d4842fd435745d80d34029447044f504144b491","true","Source workbook for SUFD plots"
